,month,normalized_month
0,janavaree,january
1,faravaree,february
2,march,march
3,aprail,april
4,may,may
5,joon,june
6,julaee,july
7,agast,august
8,sitambar,september
9,aktoobar,october
10,navambar,november
11,disambar,december
12,january,january
13,february,february
14,march,march
15,april,april
16,may,may
17,june,june
18,july,july
19,august,august
20,september,september
21,october,october
22,november,november
23,december,december
24,jan ,january
25,feb ,february
26,march ,march
27,april ,april
28,may,may
29,june,june
30,july,july
31,agst,august
32,sept ,september
33,oct ,october
34,nov ,november
35,dec ,december
