english_number,english_numeral
one,1
two,2
three,3
four,4
five,5
six,6
seven,7
eight,8
nine,9
ten,10
eleven,11
twelve,12
thirteen,13
fourteen,14
fifteen,15
sixteen,16
seventeen,17
eighteen,18
nineteen,19
twenty,20
twenty one,21
twenty two,22
twenty three,23
twenty four,24
ek,1
do,2
theen,3
chaar,4
paanch,5
che,6
saat,7
aat,8
nau,9
das,10
gyaraha,11
baraha,12
theraha,13
chaudaha,14
pandraha,15
solaha,16
satraha,17
attaraha,18
unnis,19
bees,20
ikkees,21
baees,22
teyees,23
chaubees,24
ondhu,1
yeradu,2
mooru,3
naalaku,4
aidu,5
aaru,6
yelu,7
yentu,8
ombathu,9
hatthu,10
hannondhu,11
hanneradu,12
hadimuru,13
hadinalku,14
hadinaidhu,15
hadinaru,16
hadiyelu,17
hadinenthu,18
hatthombathu,19
ippathu,20
ippathondhu,21
ippatheradu,22
ippathmooru,23
ippathnaalaku,24
